,year,mileage,engineSize,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol,price
1611,2019,4998,2.0,0,0,0,1,0,0,0,1,29000
1612,2019,8610,3.0,0,0,0,1,0,0,0,1,36980
1613,2017,16093,2.1,0,0,0,1,1,0,0,0,21362
1614,2019,3001,2.0,1,0,0,0,0,0,0,1,31346
1615,2018,8233,3.0,1,0,0,0,0,0,0,1,38123
1616,2018,10879,2.0,0,0,0,1,1,0,0,0,28842
1617,2019,10871,2.0,0,0,0,1,1,0,0,0,27250
1618,2019,3098,2.0,1,0,0,0,0,0,0,1,27490
1619,2019,4025,2.0,0,0,0,1,0,0,0,1,32890
1620,2019,4759,2.0,1,0,0,0,1,0,0,0,30490
1621,2019,5144,2.0,1,0,0,0,1,0,0,0,30490
1622,2019,1544,2.0,1,0,0,0,1,0,0,0,28990
1623,2019,2225,4.0,1,0,0,0,0,0,0,1,53990
1624,2020,999,4.0,0,0,0,1,0,0,0,1,65990
1625,2015,32019,2.1,1,0,0,0,1,0,0,0,17690
1626,2019,24,2.0,0,0,0,1,0,0,0,1,32995
1627,2018,11522,2.0,0,0,0,1,1,0,0,0,26595
1628,2018,8090,1.5,1,0,0,0,0,0,0,1,21695
1629,2018,5983,3.0,1,0,0,0,0,0,0,1,36495
1630,2017,42104,2.1,1,0,0,0,1,0,0,0,14645
1631,2016,34765,3.0,1,0,0,0,0,0,0,1,31945
1632,2017,16274,3.0,1,0,0,0,0,0,0,1,30745
1633,2016,53000,2.1,0,0,0,1,1,0,0,0,17399
1634,2019,50,1.6,1,0,0,0,1,0,0,0,37321
1635,2019,50,2.0,1,0,0,0,1,0,0,0,38521
1636,2019,9,1.6,0,0,0,1,1,0,0,0,26995
1637,2019,4829,3.0,1,0,0,0,0,0,0,1,42895
1638,2019,7499,1.5,0,0,0,1,0,0,0,1,32495
1639,2017,33219,2.1,1,0,0,0,1,0,0,0,16995
1640,2019,7264,1.5,1,0,0,0,0,0,0,1,23016
1641,2019,901,1.5,1,0,0,0,0,0,0,1,26876
1642,2019,11226,1.5,0,0,0,1,0,0,0,1,35068
1643,2020,4384,2.0,0,0,0,1,0,1,0,0,46800
1644,2017,16323,2.1,0,0,0,1,1,0,0,0,18896
1645,2014,34527,2.1,0,0,0,1,1,0,0,0,15499
1646,2019,5650,2.1,1,0,0,0,1,0,0,0,28995
1647,2019,1,2.0,0,0,0,1,1,0,0,0,29995
1648,2019,1,2.0,0,0,0,1,1,0,0,0,30995
1649,2019,1,1.6,0,0,0,1,1,0,0,0,26995
1650,2019,7396,2.0,1,0,0,0,1,0,0,0,27995
1651,2019,9,2.0,0,0,0,1,0,0,0,1,29995
1652,2019,6004,2.0,0,0,0,1,1,0,0,0,27950
1653,2016,24080,2.0,1,0,0,0,0,0,0,1,16950
1654,2019,5325,2.0,1,0,0,0,0,0,0,1,40924
1655,2015,32673,2.1,1,0,0,0,1,0,0,0,17030
1656,2018,8299,1.5,1,0,0,0,0,0,0,1,26060
1657,2019,4390,2.0,1,0,0,0,0,0,0,1,30890
1658,2018,10798,2.0,0,0,0,1,1,0,0,0,26950
1659,2018,38277,2.1,0,0,0,1,1,0,0,0,18649
1660,2019,4721,2.0,1,0,0,0,1,0,0,0,30690
1661,2017,23218,4.0,1,0,0,0,0,0,0,1,40489
1662,2015,53126,2.1,0,0,0,1,1,0,0,0,16490
1663,2017,27384,2.1,0,0,0,1,1,0,0,0,18979
1664,2017,12450,4.0,1,0,0,0,0,0,0,1,44520
1665,2017,13881,2.1,0,0,0,1,1,0,0,0,17981
1666,2019,1079,4.0,1,0,0,0,0,0,0,1,69950
1667,2019,5500,2.0,1,0,0,0,0,0,0,1,29990
1668,2019,5376,2.0,1,0,0,0,0,0,0,1,29990
1669,2019,2997,1.5,1,0,0,0,0,0,0,1,25989
1670,2019,4042,2.0,1,0,0,0,0,0,0,1,26990
1671,2019,2368,2.0,1,0,0,0,0,0,0,1,26990
1672,2019,1409,2.0,1,0,0,0,1,0,0,0,28989
1673,2017,9955,3.0,0,0,0,1,0,0,0,1,32000
1674,2016,24857,2.1,0,0,0,1,1,0,0,0,18000
1675,2019,12382,1.5,0,0,0,1,0,0,0,1,25495
1676,2018,8793,2.0,0,0,0,1,1,0,0,0,26395
1677,2019,500,3.0,1,0,0,0,0,0,0,1,38995
1678,2019,5000,2.0,1,0,0,0,0,0,0,1,34995
1679,2019,100,4.0,1,0,0,0,0,0,0,1,61995
1680,2018,5514,2.0,0,0,0,1,0,0,0,1,30995
1681,2016,20651,2.1,0,0,0,1,1,0,0,0,21895
1682,2019,1499,4.0,1,0,0,0,0,0,0,1,61495
1683,2019,500,4.0,1,0,0,0,0,0,0,1,63495
1684,2019,5999,2.0,0,0,0,1,1,0,0,0,30995
1685,2019,1414,2.0,1,0,0,0,1,0,0,0,44160
1686,2017,13944,2.1,0,0,0,1,1,0,0,0,23332
1687,2017,8142,2.1,0,0,0,1,1,0,0,0,19895
1688,2015,29517,2.0,1,0,0,0,0,0,0,1,16946
1689,2013,43500,1.6,1,0,0,0,0,0,0,1,11552
1690,2017,23988,3.0,0,0,0,1,0,0,0,1,29302
1691,2017,20698,2.1,1,0,0,0,1,0,0,0,24202
1692,2019,9938,1.5,0,0,0,1,0,0,0,1,26925
1693,2016,33085,2.0,0,0,0,1,0,1,0,0,18232
1694,2013,75067,2.1,0,1,0,0,1,0,0,0,8795
1695,2014,31273,2.0,0,0,0,1,0,0,0,1,15999
1696,2016,41356,2.1,0,0,0,1,1,0,0,0,18150
1697,2016,41356,2.1,0,0,0,1,1,0,0,0,18150
1698,2015,61985,2.1,0,0,0,1,1,0,0,0,13750
1699,2019,5225,1.5,1,0,0,0,0,0,0,1,27990
1700,2017,37484,2.1,1,0,0,0,1,0,0,0,17490
1701,2019,5960,2.0,0,0,0,1,1,0,0,0,29890
1702,2019,11054,2.0,0,0,0,1,1,0,0,0,28795
1703,2019,15274,2.0,0,0,0,1,1,0,0,0,24595
1704,2018,10069,2.0,0,0,0,1,1,0,0,0,26295
1705,2019,12566,1.6,0,0,0,1,1,0,0,0,25338
1706,2020,100,2.0,0,0,0,1,0,1,0,0,41995
1707,2019,6200,2.0,0,0,0,1,1,0,0,0,30840
1708,2019,4200,1.6,0,0,0,1,1,0,0,0,27295
1709,2016,30012,2.1,0,0,0,1,1,0,0,0,22995
1710,2016,22557,2.1,0,0,0,1,1,0,0,0,18750
1711,2016,25925,2.1,1,0,0,0,1,0,0,0,23950
1712,2017,20699,4.0,0,0,0,1,0,0,0,1,36895
1713,2019,1139,2.0,0,0,0,1,0,1,0,0,34890
1714,2019,5133,1.5,0,0,0,1,0,0,0,1,31980
1715,2019,1587,1.6,0,0,0,1,1,0,0,0,29890
1716,2019,89,1.6,0,0,0,1,1,0,0,0,31890
1717,2019,1200,4.0,0,0,0,1,0,0,0,1,66890
1718,2019,1800,2.0,0,0,0,1,1,0,0,0,37995
1719,2016,25002,2.1,0,0,0,1,1,0,0,0,24890
1720,2016,31574,2.1,0,0,0,1,1,0,0,0,17979
1721,2019,6250,2.0,1,0,0,0,0,0,0,1,27889
1722,2019,7931,2.0,1,0,0,0,1,0,0,0,26981
1723,2019,7410,1.6,0,1,0,0,1,0,0,0,22980
1724,2019,6542,2.0,1,0,0,0,1,0,0,0,29990
1725,2017,28058,2.0,1,0,0,0,0,0,0,1,26949
1726,2018,22000,2.1,1,0,0,0,1,0,0,0,24750
1727,2017,54000,2.1,0,0,0,1,1,0,0,0,21490
1728,2016,20500,4.0,0,0,0,1,0,0,0,1,36981
1729,2019,4131,2.0,1,0,0,0,1,0,0,0,34989
1730,2017,25688,2.1,0,0,0,1,1,0,0,0,18981
1731,2017,29000,2.0,0,0,0,1,0,0,0,1,23990
1732,2019,4235,1.6,1,0,0,0,1,0,0,0,25995
1733,2018,10040,2.0,0,0,0,1,1,0,0,0,26595
1734,2019,4788,2.0,1,0,0,0,0,0,0,1,33995
1735,2019,7140,2.0,0,0,0,1,1,0,0,0,26795
1736,2019,4114,2.0,1,0,0,0,1,0,0,0,27195
1737,2019,5783,2.0,1,0,0,0,1,0,0,0,27995
1738,2019,6638,2.0,1,0,0,0,0,0,0,1,32995
1739,2019,10111,2.0,0,0,0,1,1,0,0,0,27889
1740,2019,3150,2.0,1,0,0,0,0,0,0,1,31890
1741,2019,16926,1.5,1,0,0,0,0,0,0,1,23490
1742,2018,10264,2.1,1,0,0,0,1,0,0,0,21189
1743,2019,1873,2.0,1,0,0,0,1,0,0,0,31980
1744,2019,1950,2.0,1,0,0,0,0,0,0,1,32499
1745,2019,8500,2.0,1,0,0,0,1,0,0,0,30889
1746,2019,2850,2.0,1,0,0,0,0,0,0,1,33000
1747,2019,2950,2.0,1,0,0,0,0,0,0,1,28980
1748,2019,5250,2.0,1,0,0,0,1,0,0,0,30890
1749,2018,8493,1.5,0,0,0,1,0,0,0,1,20889
1750,2018,11938,4.0,0,0,0,1,0,0,0,1,43750
1751,2017,33412,2.0,1,0,0,0,0,0,0,1,22489
1752,2019,1820,2.0,1,0,0,0,1,0,0,0,37950
1753,2019,152,4.0,1,0,0,0,0,0,0,1,59950
1754,2019,1436,3.0,1,0,0,0,0,0,0,1,46950
1755,2019,3000,1.5,1,0,0,0,0,0,0,1,31950
1756,2016,25925,2.1,1,0,0,0,1,0,0,0,23950
1757,2016,35999,2.1,0,0,0,1,1,0,0,0,20895
1758,2016,28968,3.0,1,0,0,0,0,0,0,1,31495
1759,2019,101,3.0,0,0,0,1,0,0,0,1,42995
1760,2014,38644,1.6,0,0,0,1,0,0,0,1,13295
1761,2019,20400,2.0,0,0,0,1,1,0,0,0,27495
1762,2019,100,2.0,0,0,0,1,1,0,0,0,28995
1763,2016,31719,4.0,1,0,0,0,0,0,0,1,35995
1764,2019,4829,2.0,1,0,0,0,0,0,0,1,30995
1765,2019,5862,2.0,1,0,0,0,0,0,0,1,30995
1766,2019,2343,2.0,1,0,0,0,1,0,0,0,29995
1767,2019,2568,2.0,1,0,0,0,0,0,0,1,31995
1768,2019,1687,2.0,1,0,0,0,0,0,0,1,31995
1769,2019,3457,2.0,1,0,0,0,1,0,0,0,29995
1770,2019,7265,2.0,1,0,0,0,1,0,0,0,30890
1771,2019,4850,2.0,1,0,0,0,1,0,0,0,29990
1772,2019,1250,2.0,1,0,0,0,0,0,0,1,35000
1773,2019,1300,1.5,0,0,0,1,0,0,0,1,32499
1774,2018,41083,4.0,0,0,0,1,0,0,0,1,45895
1775,2019,6099,1.5,1,0,0,0,0,0,0,1,23995
1776,2017,15465,2.1,0,0,0,1,1,0,0,0,17099
1777,2018,4898,2.0,0,0,0,1,1,0,0,0,29099
1778,2019,13142,2.0,0,0,0,1,1,0,0,0,23589
1779,2019,14339,2.0,0,0,0,1,1,0,0,0,23389
1780,2019,3780,2.0,0,0,0,1,0,0,0,1,25899
1781,2019,14100,2.0,0,0,0,1,1,0,0,0,23489
1782,2017,9422,3.0,0,0,0,1,0,0,0,1,35149
1783,2016,19500,4.0,0,0,0,1,0,0,0,1,40999
1784,2015,28500,2.1,0,0,0,1,1,0,0,0,15849
1785,2019,1000,1.5,0,0,0,1,0,0,0,1,35049
1786,2019,6224,1.5,1,0,0,0,0,0,0,1,24950
1787,2017,25599,2.1,1,0,0,0,1,0,0,0,20889
1788,2019,12076,1.5,1,0,0,0,0,0,0,1,23949
1789,2019,2323,2.0,1,0,0,0,0,0,0,1,29949
1790,2014,39204,2.1,0,0,0,1,1,0,0,0,13950
1791,2019,6641,3.0,0,0,0,1,0,0,0,1,39950
1792,2019,2950,2.0,1,0,0,0,1,0,0,0,28950
1793,2019,10021,2.0,0,0,0,1,1,0,0,0,28950
1794,2019,1090,1.5,1,0,0,0,0,0,0,1,25950
1795,2019,3250,2.0,1,0,0,0,0,0,0,1,32499
1796,2019,1800,2.0,1,0,0,0,0,0,0,1,32499
1797,2019,8806,3.0,0,0,0,1,0,0,0,1,42490
1798,2019,2850,2.0,1,0,0,0,1,0,0,0,31890
1799,2019,980,2.0,1,0,0,0,1,0,0,0,29889
1800,2019,890,1.6,0,1,0,0,1,0,0,0,26499
1801,2019,4985,1.6,1,0,0,0,1,0,0,0,27890
1802,2019,1000,1.6,0,0,0,1,1,0,0,0,30989
1803,2019,2512,1.5,0,0,0,1,0,0,0,1,35099
1804,2019,6225,2.0,0,0,0,1,1,0,0,0,33699
1805,2019,5800,1.5,0,0,0,1,0,0,0,1,31599
1806,2019,2259,1.6,0,0,0,1,1,0,0,0,30599
1807,2019,4831,2.0,0,0,0,1,1,0,0,0,31299
1808,2016,5690,2.1,0,0,0,1,1,0,0,0,19099
1809,2019,9361,1.5,0,0,0,1,0,0,0,1,24199
1810,2017,45431,2.1,0,0,0,1,1,0,0,0,15250
1811,2019,608,2.0,1,0,0,0,0,0,0,1,26949
1812,2019,4971,2.0,1,0,0,0,0,0,0,1,26949
1813,2019,5099,2.1,1,0,0,0,1,0,0,0,28749
1814,2019,1498,1.5,1,0,0,0,0,0,0,1,27950
1815,2019,2323,2.0,1,0,0,0,1,0,0,0,31950
