,year,price,mileage,engine_size,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol
293,2019,26499,7060.0,2.0,0,0,0,1,1,0,0,0
294,2019,31990,4615.0,2.0,0,0,0,1,1,0,0,0
295,2018,20999,9250.0,1.5,0,0,0,1,0,0,0,1
296,2019,31999,1052.0,2.0,0,0,0,1,1,0,0,0
297,2017,17495,25149.0,2.0,0,0,0,1,0,0,0,1
298,2019,25495,5947.0,1.6,0,0,0,1,0,0,0,1
299,2019,36995,2749.0,2.0,1,0,0,0,1,0,0,0
300,2019,30999,7144.0,2.0,0,0,0,1,1,0,0,0
301,2019,29999,4843.0,2.0,0,0,0,1,1,0,0,0
302,2016,17880,44641.0,2.1,1,0,0,0,1,0,0,0
303,2016,13660,26682.0,2.1,0,1,0,0,1,0,0,0
304,2016,23920,18865.0,2.1,1,0,0,0,1,0,0,0
305,2017,22960,21225.0,2.1,0,0,0,1,1,0,0,0
306,2017,16590,52519.0,1.6,0,0,0,1,1,0,0,0
307,2017,17990,42000.0,2.1,0,0,0,1,1,0,0,0
308,2019,22270,3233.0,1.6,1,0,0,0,0,0,0,1
309,2016,22680,28535.0,2.1,0,0,0,1,1,0,0,0
310,2017,22440,32629.0,2.1,0,0,0,1,1,0,0,0
311,2016,17820,30748.0,2.1,0,0,0,1,1,0,0,0
312,2016,19290,17600.0,2.1,0,0,0,1,1,0,0,0
313,2016,16390,31360.0,2.1,0,0,0,1,1,0,0,0
314,2016,14450,19598.0,2.0,0,0,0,1,0,0,0,1
315,2016,17250,28192.0,2.1,1,0,0,0,1,0,0,0
316,2016,19690,38087.0,2.1,0,0,0,1,1,0,0,0
317,2017,19250,23523.0,2.1,0,0,0,1,1,0,0,0
318,2019,21980,7716.0,1.5,1,0,0,0,0,0,0,1
319,2019,23990,1647.0,1.5,1,0,0,0,0,0,0,1
320,2019,21980,5572.0,1.5,0,0,0,1,0,0,0,1
321,2019,27990,101.0,2.0,1,0,0,0,1,0,0,0
322,2015,16998,66796.0,2.1,0,0,0,1,0,1,0,0
323,2016,19698,41056.0,2.1,0,0,0,1,1,0,0,0
324,2015,15498,32140.0,2.1,0,1,0,0,1,0,0,0
325,2020,67999,1500.0,4.0,0,0,0,1,0,0,0,1
326,2020,34999,1500.0,1.5,0,0,0,1,0,0,0,1
327,2016,21299,12249.0,2.0,0,0,0,1,0,0,0,1
328,2017,17999,37564.0,2.0,0,0,0,1,0,1,0,0
329,2019,19999,14360.0,1.5,0,0,0,1,0,0,0,1
330,2017,21999,10288.0,2.0,0,0,0,1,0,0,0,1
331,2016,17699,43236.0,2.1,0,0,0,1,1,0,0,0
332,2016,14580,33113.0,2.1,0,0,0,1,1,0,0,0
333,2017,23990,19784.0,2.0,0,0,0,1,0,0,0,1
334,2019,28660,1610.0,2.0,1,0,0,0,1,0,0,0
335,2017,19490,31326.0,2.1,0,0,0,1,1,0,0,0
336,2017,21770,32790.0,2.1,0,0,0,1,1,0,0,0
337,2019,25990,11728.0,2.0,0,0,0,1,1,0,0,0
338,2019,28660,6282.0,2.0,1,0,0,0,1,0,0,0
339,2017,22590,41131.0,2.1,0,0,0,1,1,0,0,0
340,2017,22770,14052.0,2.1,1,0,0,0,1,0,0,0
341,2015,16480,44929.0,2.1,1,0,0,0,1,0,0,0
342,2018,27698,10579.0,2.0,0,0,0,1,1,0,0,0
343,2017,16499,30536.0,2.0,0,0,0,1,0,0,0,1
344,2019,19895,10985.0,1.5,0,0,0,1,0,0,0,1
345,2019,27595,11480.0,2.0,0,0,0,1,1,0,0,0
346,2019,25795,12986.0,2.0,0,0,0,1,1,0,0,0
347,2019,24499,3984.0,1.5,0,0,0,1,0,0,0,1
348,2019,30495,8771.0,2.0,0,0,0,1,0,0,0,1
349,2019,29999,1683.0,2.0,0,0,0,1,1,0,0,0
350,2018,27495,16347.0,2.0,0,0,0,1,1,0,0,0
351,2019,21795,6959.0,1.6,0,1,0,0,0,0,0,1
352,2013,9881,50591.0,1.6,1,0,0,0,0,0,0,1
353,2015,13498,14480.0,2.0,0,1,0,0,0,0,0,1
354,2019,24450,10471.0,2.0,0,0,0,1,1,0,0,0
355,2015,17450,37000.0,2.1,0,0,0,1,1,0,0,0
356,2016,14450,34000.0,2.1,0,0,0,1,1,0,0,0
357,2017,24990,22369.0,2.1,0,0,0,1,1,0,0,0
358,2015,16440,29286.0,2.1,0,0,0,1,1,0,0,0
359,2014,9891,52500.0,2.1,0,0,0,1,1,0,0,0
360,2015,16998,26273.0,2.0,0,0,0,1,0,0,0,1
361,2015,16710,48123.0,2.1,0,0,0,1,1,0,0,0
362,2017,22495,19779.0,2.1,1,0,0,0,1,0,0,0
363,2017,21565,39447.0,2.0,1,0,0,0,0,0,0,1
364,2017,21697,28272.0,2.0,0,0,0,1,0,0,0,1
365,2016,20990,20972.0,2.1,0,0,0,1,1,0,0,0
366,2016,14770,21745.0,2.0,0,0,0,1,0,0,0,1
367,2015,13448,31878.0,2.1,0,0,0,1,1,0,0,0
368,2014,15998,34382.0,2.1,0,0,0,1,1,0,0,0
369,2018,27498,12170.0,2.0,0,0,0,1,1,0,0,0
370,2016,19498,24111.0,2.0,0,0,0,1,0,1,0,0
371,2017,22498,22888.0,2.1,0,0,0,1,1,0,0,0
372,2016,20105,14965.0,2.1,1,0,0,0,1,0,0,0
373,2016,14220,45868.0,2.1,0,0,0,1,1,0,0,0
374,2017,22260,27637.0,2.1,0,0,0,1,1,0,0,0
375,2014,16990,32475.0,2.1,0,0,0,1,1,0,0,0
376,2019,41880,151.0,3.0,1,0,0,0,0,0,0,1
377,2019,30990,151.0,2.0,1,0,0,0,1,0,0,0
378,2019,28880,7324.0,1.5,1,0,0,0,0,0,0,1
379,2019,28990,2501.0,2.0,1,0,0,0,1,0,0,0
380,2016,18700,33237.0,2.1,0,0,0,1,1,0,0,0
381,2017,17440,63019.0,2.1,0,0,0,1,1,0,0,0
